repository_name,func_path_in_repository,func_name,whole_func_string,language,func_code_string,func_code_tokens,func_documentation_string,func_documentation_tokens,split_name,func_code_url
michaelpb/omnic,omnic/config/utils.py,use_settings,"def use_settings(**kwargs):
    '''
    Context manager to temporarily override settings
    '''
    from omnic import singletons
    singletons.settings.use_settings_dict(kwargs)
    yield
    singletons.settings.use_previous_settings()",python,"def use_settings(**kwargs):
    '''
    Context manager to temporarily override settings
    '''
    from omnic import singletons
    singletons.settings.use_settings_dict(kwargs)
    yield
    singletons.settings.use_previous_settings()","['def' 'use_settings' '(' '*' '*' 'kwargs' ')' ':' 'from' 'omnic' 'import'
 'singletons' 'singletons' '.' 'settings' '.' 'use_settings_dict' '('
 'kwargs' ')' 'yield' 'singletons' '.' 'settings' '.'
 'use_previous_settings' '(' ')']",Context manager to temporarily override settings,['Context' 'manager' 'to' 'temporarily' 'override' 'settings'],train,https://github.com/michaelpb/omnic/blob/1111cfd73c9dc1955afe42d9cf2a468c46f83cd6/omnic/config/utils.py#L5-L12
michaelpb/omnic,omnic/types/resourceurl.py,ResourceURL.parse_string,"def parse_string(s):
        '''
        Parses a foreign resource URL into the URL string itself and any
        relevant args and kwargs
        '''
        matched_obj = SPLIT_URL_RE.match(s)
        if not matched_obj:
            raise URLParseException('Invalid Resource URL: ""%s""' % s)

        url_string, arguments_string = matched_obj.groups()
        args_as_strings = URL_ARGUMENTS_RE.findall(arguments_string)

        # Determine args and kwargs
        args = []
        kwargs = {}
        for arg_string in args_as_strings:
            kwarg_match = ARG_RE.match(arg_string)
            if kwarg_match:
                key, value = kwarg_match.groups()
                kwargs[key.strip()] = value.strip()
            else:
                args.append(arg_string.strip())

        # Default to HTTP if url_string has no URL
        if not SCHEME_RE.match(url_string):
            url_string = '%s://%s' % (DEFAULT_SCHEME, url_string)

        return url_string.strip(), args, kwargs",python,"def parse_string(s):
        '''
        Parses a foreign resource URL into the URL string itself and any
        relevant args and kwargs
        '''
        matched_obj = SPLIT_URL_RE.match(s)
        if not matched_obj:
            raise URLParseException('Invalid Resource URL: ""%s""' % s)

        url_string, arguments_string = matched_obj.groups()
        args_as_strings = URL_ARGUMENTS_RE.findall(arguments_string)

        # Determine args and kwargs
        args = []
        kwargs = {}
        for arg_string in args_as_strings:
            kwarg_match = ARG_RE.match(arg_string)
            if kwarg_match:
                key, value = kwarg_match.groups()
                kwargs[key.strip()] = value.strip()
            else:
                args.append(arg_string.strip())

        # Default to HTTP if url_string has no URL
        if not SCHEME_RE.match(url_string):
            url_string = '%s://%s' % (DEFAULT_SCHEME, url_string)

        return url_string.strip(), args, kwargs","['def' 'parse_string' '(' 's' ')' ':' 'matched_obj' '=' 'SPLIT_URL_RE' '.'
 'match' '(' 's' ')' 'if' 'not' 'matched_obj' ':' 'raise'
 'URLParseException' '(' '\'Invalid Resource URL: ""%s""\'' '%' 's' ')'
 'url_string' ',' 'arguments_string' '=' 'matched_obj' '.' 'groups' '('
 ')' 'args_as_strings' '=' 'URL_ARGUMENTS_RE' '.' 'findall' '('
 'arguments_string' ')' '# Determine args and kwargs' 'args' '=' '[' ']'
 'kwargs' '=' '{' '}' 'for' 'arg_string' 'in' 'args_as_strings' ':'
 'kwarg_match' '=' 'ARG_RE' '.' 'match' '(' 'arg_string' ')' 'if'
 'kwarg_match' ':' 'key' ',' 'value' '=' 'kwarg_match' '.' 'groups' '('
 ')' 'kwargs' '[' 'key' '.' 'strip' '(' ')' ']' '=' 'value' '.' 'strip'
 '(' ')' 'else' ':' 'args' '.' 'append' '(' 'arg_string' '.' 'strip' '('
 ')' ')' '# Default to HTTP if url_string has no URL' 'if' 'not'
 'SCHEME_RE' '.' 'match' '(' 'url_string' ')' ':' 'url_string' '='
 ""'%s://%s'"" '%' '(' 'DEFAULT_SCHEME' ',' 'url_string' ')' 'return'
 'url_string' '.' 'strip' '(' ')' ',' 'args' ',' 'kwargs']","Parses a foreign resource URL into the URL string itself and any
        relevant args and kwargs","['Parses' 'a' 'foreign' 'resource' 'URL' 'into' 'the' 'URL' 'string'
 'itself' 'and' 'any' 'relevant' 'args' 'and' 'kwargs']",train,https://github.com/michaelpb/omnic/blob/1111cfd73c9dc1955afe42d9cf2a468c46f83cd6/omnic/types/resourceurl.py#L55-L82
michaelpb/omnic,omnic/conversion/utils.py,convert_endpoint,"async def convert_endpoint(url_string, ts, is_just_checking):
    '''
    Main logic for HTTP endpoint.
    '''
    response = singletons.server.response

    # Prep ForeignResource and ensure does not validate security settings
    singletons.settings
    foreign_res = ForeignResource(url_string)

    target_ts = TypeString(ts)
    target_resource = TypedResource(url_string, target_ts)

    # Send back cache if it exists
    if target_resource.cache_exists():
        if is_just_checking:
            return _just_checking_response(True, target_resource)
        return await response.file(target_resource.cache_path, headers={
            'Content-Type': target_ts.mimetype,
        })

    # Check if already downloaded. If not, queue up download.
    if not foreign_res.cache_exists():
        singletons.workers.enqueue_download(foreign_res)

    # Queue up a single function that will in turn queue up conversion
    # process
    singletons.workers.enqueue_sync(
        enqueue_conversion_path,
        url_string,
        str(target_ts),
        singletons.workers.enqueue_convert
    )

    if is_just_checking:
        return _just_checking_response(False, target_resource)

    # Respond with placeholder
    return singletons.placeholders.stream_response(target_ts, response)",python,"async def convert_endpoint(url_string, ts, is_just_checking):
    '''
    Main logic for HTTP endpoint.
    '''
    response = singletons.server.response

    # Prep ForeignResource and ensure does not validate security settings
    singletons.settings
    foreign_res = ForeignResource(url_string)

    target_ts = TypeString(ts)
    target_resource = TypedResource(url_string, target_ts)

    # Send back cache if it exists
    if target_resource.cache_exists():
        if is_just_checking:
            return _just_checking_response(True, target_resource)
        return await response.file(target_resource.cache_path, headers={
            'Content-Type': target_ts.mimetype,
        })

    # Check if already downloaded. If not, queue up download.
    if not foreign_res.cache_exists():
        singletons.workers.enqueue_download(foreign_res)

    # Queue up a single function that will in turn queue up conversion
    # process
    singletons.workers.enqueue_sync(
        enqueue_conversion_path,
        url_string,
        str(target_ts),
        singletons.workers.enqueue_convert
    )

    if is_just_checking:
        return _just_checking_response(False, target_resource)

    # Respond with placeholder
    return singletons.placeholders.stream_response(target_ts, response)","['async' 'def' 'convert_endpoint' '(' 'url_string' ',' 'ts' ','
 'is_just_checking' ')' ':' 'response' '=' 'singletons' '.' 'server' '.'
 'response'
 '# Prep ForeignResource and ensure does not validate security settings'
 'singletons' '.' 'settings' 'foreign_res' '=' 'ForeignResource' '('
 'url_string' ')' 'target_ts' '=' 'TypeString' '(' 'ts' ')'
 'target_resource' '=' 'TypedResource' '(' 'url_string' ',' 'target_ts'
 ')' '# Send back cache if it exists' 'if' 'target_resource' '.'
 'cache_exists' '(' ')' ':' 'if' 'is_just_checking' ':' 'return'
 '_just_checking_response' '(' 'True' ',' 'target_resource' ')' 'return'
 'await' 'response' '.' 'file' '(' 'target_resource' '.' 'cache_path' ','
 'headers' '=' '{' ""'Content-Type'"" ':' 'target_ts' '.' 'mimetype' ',' '}'
 ')' '# Check if already downloaded. If not, queue up download.' 'if'
 'not' 'foreign_res' '.' 'cache_exists' '(' ')' ':' 'singletons' '.'
 'workers' '.' 'enqueue_download' '(' 'foreign_res' ')'
 '# Queue up a single function that will in turn queue up conversion'
 '# process' 'singletons' '.' 'workers' '.' 'enqueue_sync' '('
 'enqueue_conversion_path' ',' 'url_string' ',' 'str' '(' 'target_ts' ')'
 ',' 'singletons' '.' 'workers' '.' 'enqueue_convert' ')' 'if'
 'is_just_checking' ':' 'return' '_just_checking_response' '(' 'False' ','
 'target_resource' ')' '# Respond with placeholder' 'return' 'singletons'
 '.' 'placeholders' '.' 'stream_response' '(' 'target_ts' ',' 'response'
 ')']",Main logic for HTTP endpoint.,['Main' 'logic' 'for' 'HTTP' 'endpoint' '.'],train,https://github.com/michaelpb/omnic/blob/1111cfd73c9dc1955afe42d9cf2a468c46f83cd6/omnic/conversion/utils.py#L15-L53
michaelpb/omnic,omnic/conversion/utils.py,apply_command_list_template,"def apply_command_list_template(command_list, in_path, out_path, args):
    '''
    Perform necessary substitutions on a command list to create a CLI-ready
    list to launch a conversion or download process via system binary.
    '''
    replacements = {
        '$IN': in_path,
        '$OUT': out_path,
    }

    # Add in positional arguments ($0, $1, etc)
    for i, arg in enumerate(args):
        replacements['$' + str(i)] = arg

    results = [replacements.get(arg, arg) for arg in command_list]

    # Returns list of truthy replaced arguments in command
    return [item for item in results if item]",python,"def apply_command_list_template(command_list, in_path, out_path, args):
    '''
    Perform necessary substitutions on a command list to create a CLI-ready
    list to launch a conversion or download process via system binary.
    '''
    replacements = {
        '$IN': in_path,
        '$OUT': out_path,
    }

    # Add in positional arguments ($0, $1, etc)
    for i, arg in enumerate(args):
        replacements['$' + str(i)] = arg

    results = [replacements.get(arg, arg) for arg in command_list]

    # Returns list of truthy replaced arguments in command
    return [item for item in results if item]","['def' 'apply_command_list_template' '(' 'command_list' ',' 'in_path' ','
 'out_path' ',' 'args' ')' ':' 'replacements' '=' '{' ""'$IN'"" ':'
 'in_path' ',' ""'$OUT'"" ':' 'out_path' ',' '}'
 '# Add in positional arguments ($0, $1, etc)' 'for' 'i' ',' 'arg' 'in'
 'enumerate' '(' 'args' ')' ':' 'replacements' '[' ""'$'"" '+' 'str' '(' 'i'
 ')' ']' '=' 'arg' 'results' '=' '[' 'replacements' '.' 'get' '(' 'arg'
 ',' 'arg' ')' 'for' 'arg' 'in' 'command_list' ']'
 '# Returns list of truthy replaced arguments in command' 'return' '['
 'item' 'for' 'item' 'in' 'results' 'if' 'item' ']']","Perform necessary substitutions on a command list to create a CLI-ready
    list to launch a conversion or download process via system binary.","['Perform' 'necessary' 'substitutions' 'on' 'a' 'command' 'list' 'to'
 'create' 'a' 'CLI' '-' 'ready' 'list' 'to' 'launch' 'a' 'conversion' 'or'
 'download' 'process' 'via' 'system' 'binary' '.']",train,https://github.com/michaelpb/omnic/blob/1111cfd73c9dc1955afe42d9cf2a468c46f83cd6/omnic/conversion/utils.py#L55-L72
michaelpb/omnic,omnic/conversion/utils.py,convert_local,"async def convert_local(path, to_type):
    '''
    Given an absolute path to a local file, convert to a given to_type
    '''
    # Now find path between types
    typed_foreign_res = TypedLocalResource(path)
    original_ts = typed_foreign_res.typestring
    conversion_path = singletons.converter_graph.find_path(
        original_ts, to_type)
    # print('Conversion path: ', conversion_path)

    # Loop through each step in graph path and convert
    for is_first, is_last, path_step in first_last_iterator(conversion_path):
        converter_class, from_ts, to_ts = path_step
        converter = converter_class()
        in_resource = TypedLocalResource(path, from_ts)
        if is_first:  # Ensure first resource is just the source one
            in_resource = typed_foreign_res
        out_resource = TypedLocalResource(path, to_ts)

        if is_last:
            out_resource = TypedPathedLocalResource(path, to_ts)
        await converter.convert(in_resource, out_resource)",python,"async def convert_local(path, to_type):
    '''
    Given an absolute path to a local file, convert to a given to_type
    '''
    # Now find path between types
    typed_foreign_res = TypedLocalResource(path)
    original_ts = typed_foreign_res.typestring
    conversion_path = singletons.converter_graph.find_path(
        original_ts, to_type)
    # print('Conversion path: ', conversion_path)

    # Loop through each step in graph path and convert
    for is_first, is_last, path_step in first_last_iterator(conversion_path):
        converter_class, from_ts, to_ts = path_step
        converter = converter_class()
        in_resource = TypedLocalResource(path, from_ts)
        if is_first:  # Ensure first resource is just the source one
            in_resource = typed_foreign_res
        out_resource = TypedLocalResource(path, to_ts)

        if is_last:
            out_resource = TypedPathedLocalResource(path, to_ts)
        await converter.convert(in_resource, out_resource)","['async' 'def' 'convert_local' '(' 'path' ',' 'to_type' ')' ':'
 '# Now find path between types' 'typed_foreign_res' '='
 'TypedLocalResource' '(' 'path' ')' 'original_ts' '=' 'typed_foreign_res'
 '.' 'typestring' 'conversion_path' '=' 'singletons' '.' 'converter_graph'
 '.' 'find_path' '(' 'original_ts' ',' 'to_type' ')'
 ""# print('Conversion path: ', conversion_path)""
 '# Loop through each step in graph path and convert' 'for' 'is_first' ','
 'is_last' ',' 'path_step' 'in' 'first_last_iterator' '('
 'conversion_path' ')' ':' 'converter_class' ',' 'from_ts' ',' 'to_ts' '='
 'path_step' 'converter' '=' 'converter_class' '(' ')' 'in_resource' '='
 'TypedLocalResource' '(' 'path' ',' 'from_ts' ')' 'if' 'is_first' ':'
 '# Ensure first resource is just the source one' 'in_resource' '='
 'typed_foreign_res' 'out_resource' '=' 'TypedLocalResource' '(' 'path'
 ',' 'to_ts' ')' 'if' 'is_last' ':' 'out_resource' '='
 'TypedPathedLocalResource' '(' 'path' ',' 'to_ts' ')' 'await' 'converter'
 '.' 'convert' '(' 'in_resource' ',' 'out_resource' ')']","Given an absolute path to a local file, convert to a given to_type","['Given' 'an' 'absolute' 'path' 'to' 'a' 'local' 'file' 'convert' 'to' 'a'
 'given' 'to_type']",train,https://github.com/michaelpb/omnic/blob/1111cfd73c9dc1955afe42d9cf2a468c46f83cd6/omnic/conversion/utils.py#L76-L98
michaelpb/omnic,omnic/conversion/utils.py,enqueue_conversion_path,"def enqueue_conversion_path(url_string, to_type, enqueue_convert):
    '''
    Given a URL string that has already been downloaded, enqueue
    necessary conversion to get to target type
    '''
    target_ts = TypeString(to_type)
    foreign_res = ForeignResource(url_string)

    # Determine the file type of the foreign resource
    typed_foreign_res = foreign_res.guess_typed()

    if not typed_foreign_res.cache_exists():
        # Symlink to new location that includes typed extension
        typed_foreign_res.symlink_from(foreign_res)

    # Now find path between types
    original_ts = typed_foreign_res.typestring
    path = singletons.converter_graph.find_path(original_ts, target_ts)

    # Loop through each step in graph path and convert
    is_first = True
    for converter_class, from_ts, to_ts in path:
        converter = converter_class()
        in_resource = TypedResource(url_string, from_ts)
        if is_first:  # Ensure first resource is just the source one
            in_resource = TypedForeignResource(url_string, from_ts)
        out_resource = TypedResource(url_string, to_ts)
        enqueue_convert(converter, in_resource, out_resource)
        is_first = False",python,"def enqueue_conversion_path(url_string, to_type, enqueue_convert):
    '''
    Given a URL string that has already been downloaded, enqueue
    necessary conversion to get to target type
    '''
    target_ts = TypeString(to_type)
    foreign_res = ForeignResource(url_string)

    # Determine the file type of the foreign resource
    typed_foreign_res = foreign_res.guess_typed()

    if not typed_foreign_res.cache_exists():
        # Symlink to new location that includes typed extension
        typed_foreign_res.symlink_from(foreign_res)

    # Now find path between types
    original_ts = typed_foreign_res.typestring
    path = singletons.converter_graph.find_path(original_ts, target_ts)

    # Loop through each step in graph path and convert
    is_first = True
    for converter_class, from_ts, to_ts in path:
        converter = converter_class()
        in_resource = TypedResource(url_string, from_ts)
        if is_first:  # Ensure first resource is just the source one
            in_resource = TypedForeignResource(url_string, from_ts)
        out_resource = TypedResource(url_string, to_ts)
        enqueue_convert(converter, in_resource, out_resource)
        is_first = False","['def' 'enqueue_conversion_path' '(' 'url_string' ',' 'to_type' ','
 'enqueue_convert' ')' ':' 'target_ts' '=' 'TypeString' '(' 'to_type' ')'
 'foreign_res' '=' 'ForeignResource' '(' 'url_string' ')'
 '# Determine the file type of the foreign resource' 'typed_foreign_res'
 '=' 'foreign_res' '.' 'guess_typed' '(' ')' 'if' 'not'
 'typed_foreign_res' '.' 'cache_exists' '(' ')' ':'
 '# Symlink to new location that includes typed extension'
 'typed_foreign_res' '.' 'symlink_from' '(' 'foreign_res' ')'
 '# Now find path between types' 'original_ts' '=' 'typed_foreign_res' '.'
 'typestring' 'path' '=' 'singletons' '.' 'converter_graph' '.'
 'find_path' '(' 'original_ts' ',' 'target_ts' ')'
 '# Loop through each step in graph path and convert' 'is_first' '='
 'True' 'for' 'converter_class' ',' 'from_ts' ',' 'to_ts' 'in' 'path' ':'
 'converter' '=' 'converter_class' '(' ')' 'in_resource' '='
 'TypedResource' '(' 'url_string' ',' 'from_ts' ')' 'if' 'is_first' ':'
 '# Ensure first resource is just the source one' 'in_resource' '='
 'TypedForeignResource' '(' 'url_string' ',' 'from_ts' ')' 'out_resource'
 '=' 'TypedResource' '(' 'url_string' ',' 'to_ts' ')' 'enqueue_convert'
 '(' 'converter' ',' 'in_resource' ',' 'out_resource' ')' 'is_first' '='
 'False']","Given a URL string that has already been downloaded, enqueue
    necessary conversion to get to target type","['Given' 'a' 'URL' 'string' 'that' 'has' 'already' 'been' 'downloaded'
 'enqueue' 'necessary' 'conversion' 'to' 'get' 'to' 'target' 'type']",train,https://github.com/michaelpb/omnic/blob/1111cfd73c9dc1955afe42d9cf2a468c46f83cd6/omnic/conversion/utils.py#L101-L129
michaelpb/omnic,omnic/conversion/resolvergraph.py,ResolverGraph.find_resource_url_basename,"def find_resource_url_basename(self, resource_url):
        '''
        Figure out path basename for given resource_url
        '''
        scheme = resource_url.parsed.scheme
        if scheme in ('http', 'https', 'file'):
            return _get_basename_based_on_url(resource_url)

        elif scheme in ('git', 'git+https', 'git+http'):
            if len(resource_url.args) == 2:
                # For now, git has 2 positional args, hash and path
                git_tree, subpath = resource_url.args
                basename = os.path.basename(subpath)
                if basename:
                    return basename  # subpath was not '/' or ''
        return _get_basename_based_on_url(resource_url)",python,"def find_resource_url_basename(self, resource_url):
        '''
        Figure out path basename for given resource_url
        '''
        scheme = resource_url.parsed.scheme
        if scheme in ('http', 'https', 'file'):
            return _get_basename_based_on_url(resource_url)

        elif scheme in ('git', 'git+https', 'git+http'):
            if len(resource_url.args) == 2:
                # For now, git has 2 positional args, hash and path
                git_tree, subpath = resource_url.args
                basename = os.path.basename(subpath)
                if basename:
                    return basename  # subpath was not '/' or ''
        return _get_basename_based_on_url(resource_url)","['def' 'find_resource_url_basename' '(' 'self' ',' 'resource_url' ')' ':'
 'scheme' '=' 'resource_url' '.' 'parsed' '.' 'scheme' 'if' 'scheme' 'in'
 '(' ""'http'"" ',' ""'https'"" ',' ""'file'"" ')' ':' 'return'
 '_get_basename_based_on_url' '(' 'resource_url' ')' 'elif' 'scheme' 'in'
 '(' ""'git'"" ',' ""'git+https'"" ',' ""'git+http'"" ')' ':' 'if' 'len' '('
 'resource_url' '.' 'args' ')' '==' '2' ':'
 '# For now, git has 2 positional args, hash and path' 'git_tree' ','
 'subpath' '=' 'resource_url' '.' 'args' 'basename' '=' 'os' '.' 'path'
 '.' 'basename' '(' 'subpath' ')' 'if' 'basename' ':' 'return' 'basename'
 ""# subpath was not '/' or ''"" 'return' '_get_basename_based_on_url' '('
 'resource_url' ')']",Figure out path basename for given resource_url,['Figure' 'out' 'path' 'basename' 'for' 'given' 'resource_url'],train,https://github.com/michaelpb/omnic/blob/1111cfd73c9dc1955afe42d9cf2a468c46f83cd6/omnic/conversion/resolvergraph.py#L27-L42
michaelpb/omnic,omnic/conversion/resolvergraph.py,ResolverGraph.find_destination_type,"def find_destination_type(self, resource_url):
        '''
        Given a resource_url, figure out what it would resolve into
        '''
        resolvers = self.converters.values()
        for resolver in resolvers:
            # Not all resolvers are opinionated about destination types
            if not hasattr(resolver, 'get_destination_type'):
                continue

            destination_type = resolver.get_destination_type(resource_url)
            if destination_type:
                return destination_type",python,"def find_destination_type(self, resource_url):
        '''
        Given a resource_url, figure out what it would resolve into
        '''
        resolvers = self.converters.values()
        for resolver in resolvers:
            # Not all resolvers are opinionated about destination types
            if not hasattr(resolver, 'get_destination_type'):
                continue

            destination_type = resolver.get_destination_type(resource_url)
            if destination_type:
                return destination_type","['def' 'find_destination_type' '(' 'self' ',' 'resource_url' ')' ':'
 'resolvers' '=' 'self' '.' 'converters' '.' 'values' '(' ')' 'for'
 'resolver' 'in' 'resolvers' ':'
 '# Not all resolvers are opinionated about destination types' 'if' 'not'
 'hasattr' '(' 'resolver' ',' ""'get_destination_type'"" ')' ':' 'continue'
 'destination_type' '=' 'resolver' '.' 'get_destination_type' '('
 'resource_url' ')' 'if' 'destination_type' ':' 'return'
 'destination_type']","Given a resource_url, figure out what it would resolve into","['Given' 'a' 'resource_url' 'figure' 'out' 'what' 'it' 'would' 'resolve'
 'into']",train,https://github.com/michaelpb/omnic/blob/1111cfd73c9dc1955afe42d9cf2a468c46f83cd6/omnic/conversion/resolvergraph.py#L44-L56
michaelpb/omnic,omnic/conversion/resolvergraph.py,ResolverGraph.download,"async def download(self, resource_url):
        '''
        Download given Resource URL by finding path through graph and applying
        each step
        '''
        resolver_path = self.find_path_from_url(resource_url)
        await self.apply_resolver_path(resource_url, resolver_path)",python,"async def download(self, resource_url):
        '''
        Download given Resource URL by finding path through graph and applying
        each step
        '''
        resolver_path = self.find_path_from_url(resource_url)
        await self.apply_resolver_path(resource_url, resolver_path)","['async' 'def' 'download' '(' 'self' ',' 'resource_url' ')' ':'
 'resolver_path' '=' 'self' '.' 'find_path_from_url' '(' 'resource_url'
 ')' 'await' 'self' '.' 'apply_resolver_path' '(' 'resource_url' ','
 'resolver_path' ')']","Download given Resource URL by finding path through graph and applying
        each step","['Download' 'given' 'Resource' 'URL' 'by' 'finding' 'path' 'through'
 'graph' 'and' 'applying' 'each' 'step']",train,https://github.com/michaelpb/omnic/blob/1111cfd73c9dc1955afe42d9cf2a468c46f83cd6/omnic/conversion/resolvergraph.py#L76-L82
michaelpb/omnic,omnic/conversion/resolver.py,download,"async def download(resource_url):
    '''
    Download given resource_url
    '''
    scheme = resource_url.parsed.scheme
    if scheme in ('http', 'https'):
        await download_http(resource_url)
    elif scheme in ('git', 'git+https', 'git+http'):
        await download_git(resource_url)
    else:
        raise ValueError('Unknown URL scheme: ""%s""' % scheme)",python,"async def download(resource_url):
    '''
    Download given resource_url
    '''
    scheme = resource_url.parsed.scheme
    if scheme in ('http', 'https'):
        await download_http(resource_url)
    elif scheme in ('git', 'git+https', 'git+http'):
        await download_git(resource_url)
    else:
        raise ValueError('Unknown URL scheme: ""%s""' % scheme)","['async' 'def' 'download' '(' 'resource_url' ')' ':' 'scheme' '='
 'resource_url' '.' 'parsed' '.' 'scheme' 'if' 'scheme' 'in' '(' ""'http'""
 ',' ""'https'"" ')' ':' 'await' 'download_http' '(' 'resource_url' ')'
 'elif' 'scheme' 'in' '(' ""'git'"" ',' ""'git+https'"" ',' ""'git+http'"" ')'
 ':' 'await' 'download_git' '(' 'resource_url' ')' 'else' ':' 'raise'
 'ValueError' '(' '\'Unknown URL scheme: ""%s""\'' '%' 'scheme' ')']",Download given resource_url,['Download' 'given' 'resource_url'],train,https://github.com/michaelpb/omnic/blob/1111cfd73c9dc1955afe42d9cf2a468c46f83cd6/omnic/conversion/resolver.py#L110-L120
